Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
pos2pos_sim: 0.9079, pos2neg_sim: 0.0113
pos2pos_sim: 0.8800, pos2neg_sim: 0.0264
pos2pos_sim: 0.8846, pos2neg_sim: 0.0292
pos2pos_sim: 0.9098, pos2neg_sim: 0.0206
pos2pos_sim: 0.9109, pos2neg_sim: 0.0200
pos2pos_sim: 0.9061, pos2neg_sim: 0.0247
pos2pos_sim: 0.9041, pos2neg_sim: 0.0235
pos2pos_sim: 0.8966, pos2neg_sim: 0.0205
pos2pos_sim: 0.8902, pos2neg_sim: 0.0131
pos2pos_sim: 0.8891, pos2neg_sim: 0.0142
pos2pos_sim: 0.9083, pos2neg_sim: 0.0088
pos2pos_sim: 0.9104, pos2neg_sim: 0.0286
pos2pos_sim: 0.9149, pos2neg_sim: 0.0313
pos2pos_sim: 0.8920, pos2neg_sim: 0.0327
pos2pos_sim: 0.8767, pos2neg_sim: 0.0122
pos2pos_sim: 0.9003, pos2neg_sim: 0.0154
pos2pos_sim: 0.9140, pos2neg_sim: 0.0161
pos2pos_sim: 0.9052, pos2neg_sim: 0.0235
pos2pos_sim: 0.9019, pos2neg_sim: 0.0247
pos2pos_sim: 0.9055, pos2neg_sim: 0.0116
pos2pos_sim: 0.8899, pos2neg_sim: 0.0143
pos2pos_sim: 0.9030, pos2neg_sim: 0.0100
pos2pos_sim: 0.8910, pos2neg_sim: 0.0453
pos2pos_sim: 0.9068, pos2neg_sim: 0.0216
pos2pos_sim: 0.8993, pos2neg_sim: 0.0132
pos2pos_sim: 0.9092, pos2neg_sim: 0.0140
pos2pos_sim: 0.9060, pos2neg_sim: 0.0137
pos2pos_sim: 0.9058, pos2neg_sim: 0.0149
pos2pos_sim: 0.9025, pos2neg_sim: 0.0253
pos2pos_sim: 0.9043, pos2neg_sim: 0.0140
pos2pos_sim: 0.8970, pos2neg_sim: 0.0055
pos2pos_sim: 0.9010, pos2neg_sim: 0.0184
pos2pos_sim: 0.9054, pos2neg_sim: 0.0352
pos2pos_sim: 0.9070, pos2neg_sim: 0.0128
pos2pos_sim: 0.8984, pos2neg_sim: 0.0096
pos2pos_sim: 0.9020, pos2neg_sim: 0.0192
pos2pos_sim: 0.9085, pos2neg_sim: 0.0227
pos2pos_sim: 0.9102, pos2neg_sim: 0.0099
pos2pos_sim: 0.9071, pos2neg_sim: 0.0200
pos2pos_sim: 0.9111, pos2neg_sim: 0.0263
pos2pos_sim: 0.9073, pos2neg_sim: 0.0153
pos2pos_sim: 0.8947, pos2neg_sim: 0.0127
pos2pos_sim: 0.9066, pos2neg_sim: 0.0145
pos2pos_sim: 0.9119, pos2neg_sim: 0.0153
pos2pos_sim: 0.9142, pos2neg_sim: 0.0279
pos2pos_sim: 0.9126, pos2neg_sim: 0.0262
pos2pos_sim: 0.9189, pos2neg_sim: 0.0226
pos2pos_sim: 0.8938, pos2neg_sim: 0.0199
pos2pos_sim: 0.8916, pos2neg_sim: 0.0141
pos2pos_sim: 0.8919, pos2neg_sim: 0.0184
pos2pos_sim: 0.8928, pos2neg_sim: 0.0097
pos2pos_sim: 0.8997, pos2neg_sim: 0.0149
pos2pos_sim: 0.9050, pos2neg_sim: 0.0361
pos2pos_sim: 0.9108, pos2neg_sim: 0.0245
pos2pos_sim: 0.9023, pos2neg_sim: 0.0316
pos2pos_sim: 0.8954, pos2neg_sim: 0.0091
pos2pos_sim: 0.8939, pos2neg_sim: 0.0090
pos2pos_sim: 0.9084, pos2neg_sim: 0.0233
pos2pos_sim: 0.9032, pos2neg_sim: 0.0194
pos2pos_sim: 0.8992, pos2neg_sim: 0.0158
pos2pos_sim: 0.9118, pos2neg_sim: 0.0341
pos2pos_sim: 0.9096, pos2neg_sim: 0.0173
pos2pos_sim: 0.9035, pos2neg_sim: 0.0151
pos2pos_sim: 0.8814, pos2neg_sim: 0.0068
pos2pos_sim: 0.8793, pos2neg_sim: 0.0096
pos2pos_sim: 0.9115, pos2neg_sim: 0.0156
pos2pos_sim: 0.9184, pos2neg_sim: 0.0281
pos2pos_sim: 0.9063, pos2neg_sim: 0.0313
pos2pos_sim: 0.9010, pos2neg_sim: 0.0181
pos2pos_sim: 0.9062, pos2neg_sim: 0.0137
pos2pos_sim: 0.9014, pos2neg_sim: 0.0122
pos2pos_sim: 0.8985, pos2neg_sim: 0.0161
pos2pos_sim: 0.9057, pos2neg_sim: 0.0232
pos2pos_sim: 0.9126, pos2neg_sim: 0.0198
pos2pos_sim: 0.9023, pos2neg_sim: 0.0196
pos2pos_sim: 0.8980, pos2neg_sim: 0.0153
pos2pos_sim: 0.8900, pos2neg_sim: 0.0079
pos2pos_sim: 0.8969, pos2neg_sim: 0.0104
pos2pos_sim: 0.9083, pos2neg_sim: 0.0255
pos2pos_sim: 0.9146, pos2neg_sim: 0.0211
pos2pos_sim: 0.9061, pos2neg_sim: 0.0314
pos2pos_sim: 0.9103, pos2neg_sim: 0.0137
pos2pos_sim: 0.8949, pos2neg_sim: 0.0116
pos2pos_sim: 0.9004, pos2neg_sim: 0.0243
pos2pos_sim: 0.9120, pos2neg_sim: 0.0255
pos2pos_sim: 0.9013, pos2neg_sim: 0.0193
pos2pos_sim: 0.9050, pos2neg_sim: 0.0106
pos2pos_sim: 0.9165, pos2neg_sim: 0.0171
pos2pos_sim: 0.9151, pos2neg_sim: 0.0214
pos2pos_sim: 0.9066, pos2neg_sim: 0.0143
pos2pos_sim: 0.9034, pos2neg_sim: 0.0179
pos2pos_sim: 0.9067, pos2neg_sim: 0.0129
pos2pos_sim: 0.8907, pos2neg_sim: 0.0215
pos2pos_sim: 0.8995, pos2neg_sim: 0.0136
pos2pos_sim: 0.8914, pos2neg_sim: 0.0117
pos2pos_sim: 0.9108, pos2neg_sim: 0.0161
pos2pos_sim: 0.9008, pos2neg_sim: 0.0213
pos2pos_sim: 0.8986, pos2neg_sim: 0.0191
pos2pos_sim: 0.9081, pos2neg_sim: 0.0127
pos2pos_sim: 0.9017, pos2neg_sim: 0.0130
pos2pos_sim: 0.9084, pos2neg_sim: 0.0123
pos2pos_sim: 0.9050, pos2neg_sim: 0.0181
pos2pos_sim: 0.9038, pos2neg_sim: 0.0268
pos2pos_sim: 0.9011, pos2neg_sim: 0.0201
pos2pos_sim: 0.9042, pos2neg_sim: 0.0220
pos2pos_sim: 0.9047, pos2neg_sim: 0.0145
pos2pos_sim: 0.8901, pos2neg_sim: 0.0234
pos2pos_sim: 0.9020, pos2neg_sim: 0.0098
pos2pos_sim: 0.9043, pos2neg_sim: 0.0210
pos2pos_sim: 0.9197, pos2neg_sim: 0.0183
pos2pos_sim: 0.8987, pos2neg_sim: 0.0157
pos2pos_sim: 0.9094, pos2neg_sim: 0.0184
pos2pos_sim: 0.9066, pos2neg_sim: 0.0158
pos2pos_sim: 0.9158, pos2neg_sim: 0.0151
pos2pos_sim: 0.9159, pos2neg_sim: 0.0212
pos2pos_sim: 0.9092, pos2neg_sim: 0.0269
pos2pos_sim: 0.9090, pos2neg_sim: 0.0185
pos2pos_sim: 0.8923, pos2neg_sim: 0.0183
pos2pos_sim: 0.9063, pos2neg_sim: 0.0060
pos2pos_sim: 0.8985, pos2neg_sim: 0.0145
pos2pos_sim: 0.8934, pos2neg_sim: 0.0174
pos2pos_sim: 0.9048, pos2neg_sim: 0.0134
pos2pos_sim: 0.9080, pos2neg_sim: 0.0267
pos2pos_sim: 0.9106, pos2neg_sim: 0.0250
pos2pos_sim: 0.9081, pos2neg_sim: 0.0117
pos2pos_sim: 0.8966, pos2neg_sim: 0.0080
pos2pos_sim: 0.8905, pos2neg_sim: 0.0089
pos2pos_sim: 0.9013, pos2neg_sim: 0.0113
pos2pos_sim: 0.9130, pos2neg_sim: 0.0148
pos2pos_sim: 0.9064, pos2neg_sim: 0.0184
pos2pos_sim: 0.9069, pos2neg_sim: 0.0211
pos2pos_sim: 0.9204, pos2neg_sim: 0.0104
pos2pos_sim: 0.8965, pos2neg_sim: 0.0290
pos2pos_sim: 0.9042, pos2neg_sim: 0.0117
pos2pos_sim: 0.9037, pos2neg_sim: 0.0144
